OBJECTID,FIPS6,TOWNNAME,TOWNNAMEMC,CNTY,ShapeSTArea,ShapeSTLength
1,9030,CANAAN,Canaan,9,85657385.9612727,63360.9367742191
2,11040,FRANKLIN,Franklin,11,105864062.066988,42591.2633196539
3,11015,BERKSHIRE,Berkshire,11,108509286.924485,41941.7574175338
4,11050,HIGHGATE,Highgate,11,155573563.780867,57367.8405285981
5,11060,RICHFORD,Richford,11,111897346.698573,42398.6239874231
6,13005,ALBURGH,Alburgh,13,123041223.104782,55791.542097056
7,9080,NORTON,Norton,9,100482148.571609,43902.6791958307
8,9005,AVERILL,Averill,9,99375244.2365319,39817.0459204183
9,19050,HOLLAND,Holland,19,100189636.014878,40818.3625744261
10,19060,JAY,Jay,19,87962933.6073643,37738.294754471
11,19085,TROY,Troy,19,94383636.6651406,47965.4660905828
12,9060,LEMINGTON,Lemington,9,91430807.3418143,44340.9079254682
13,13015,ISLE LA MOTTE,Isle La Motte,13,47763643.7225718,37271.8879980879
14,9010,AVERYS GORE,Averys Gore,9,47292690.3926213,30643.4706826886
15,9095,WARREN GORE,Warren Gore,9,26689895.6974739,22700.0354441407
16,9090,WARNERS GRANT,Warners Grant,9,8288808.03390794,14083.9302660956
17,11075,SHELDON,Sheldon,11,101859875.538306,45704.0586076768
18,19070,MORGAN,Morgan,19,88380778.0136632,45378.2966216774
19,9065,LEWIS,Lewis,9,101060097.629974,40392.5598767474
20,11080,SWANTON,Swanton,11,159762215.623118,68129.6949817438
21,13020,NORTH HERO,North Hero,13,119147806.888226,55473.7486262871
22,11020,ENOSBURG,Enosburg,11,124617361.156743,46401.2463409223
23,19090,WESTFIELD,Westfield,19,103631847.42052,40797.0733459235
24,19020,CHARLESTON,Charleston,19,99805181.5973082,42716.5005520977
25,11070,ST. ALBANS TOWN,St. Albans Town,11,157570583.937401,78110.052774468
26,19015,BROWNINGTON,Brownington,19,73447022.2343654,35879.9585538927
27,11030,FAIRFIELD,Fairfield,11,177142865.77712,64524.290197094
28,9015,BLOOMFIELD,Bloomfield,9,104215530.725898,42802.711963498
29,9020,BRIGHTON,Brighton,9,140748543.217973,48133.1630393454
30,19055,IRASBURG,Irasburg,19,105602848.819081,41563.8568409892
31,19065,LOWELL,Lowell,19,146022289.700198,52294.9113216125
32,11010,BAKERSFIELD,Bakersfield,11,109203743.88283,50169.371864548
33,11065,ST. ALBANS CITY,St. Albans City,11,5074606.05304197,12235.8901230042
34,19095,WESTMORE,Westmore,19,97320459.7581893,39492.8564253007
35,9045,FERDINAND,Ferdinand,9,137488289.687411,55273.1210425638
36,9025,BRUNSWICK,Brunswick,9,64872285.5415563,45991.6526764748
37,15005,BELVIDERE,Belvidere,15,92349428.0820594,38042.7487138275
38,11045,GEORGIA,Georgia,11,117352157.906101,47293.4199046425
39,19005,ALBANY,Albany,19,100957171.696473,40183.4232717184
40,13010,GRAND ISLE,Grand Isle,13,90668007.8623478,42391.9896278774
41,15045,WATERVILLE,Waterville,15,40734143.5983581,30691.0616043025
42,11025,FAIRFAX,Fairfax,11,104627304.35825,46169.3909281335
43,5040,NEWARK,Newark,5,96449475.1505702,39280.8039786092
44,11035,FLETCHER,Fletcher,11,99605216.6781828,51333.0615019861
45,19010,BARTON,Barton,19,114883657.198954,47446.338814174
46,5070,SUTTON,Sutton,5,99686312.6748506,45892.7051695574
47,19040,GLOVER,Glover,19,99792938.6357775,39905.8030320315
48,7050,MILTON,Milton,7,157909640.278561,54906.1007603323
49,9040,EAST HAVEN,East Haven,9,96599833.0977844,39249.1088679857
50,19030,CRAFTSBURY,Craftsbury,19,102452193.846022,40426.3232335251
51,15010,CAMBRIDGE,Cambridge,15,164353909.144341,56100.8849039395
52,5060,SHEFFIELD,Sheffield,5,84994417.9339655,36359.6870268691
53,13025,SOUTH HERO,South Hero,13,120234067.740784,45962.9917005985
54,9050,GRANBY,Granby,9,100535554.89551,40079.1861614604
55,19045,GREENSBORO,Greensboro,19,102430049.136195,40376.552733728
56,5010,BURKE,Burke,5,87302152.8521071,40549.5420010934
57,7080,WESTFORD,Westford,7,101351388.548601,41106.4139087935
58,15030,JOHNSON,Johnson,15,118351877.537929,47120.2864512387
59,15050,WOLCOTT,Wolcott,15,101790637.572051,40355.0842010414
60,7075,UNDERHILL,Underhill,7,132821808.968441,50063.3890883461
61,5085,WHEELOCK,Wheelock,5,103650696.491999,47738.6635631281
62,9055,GUILDHALL,Guildhall,9,85355022.1103857,46527.8915552589
63,9085,VICTORY,Victory,9,111578210.231073,43206.5932429647
64,15025,HYDE PARK,Hyde Park,15,101004200.348133,43210.3880332608
65,15035,MORRISTOWN,Morristown,15,132906470.750284,59518.2458359469
66,5025,HARDWICK,Hardwick,5,100122403.982435,40120.6502030037
67,5065,STANNARD,Stannard,5,32895887.0898207,26870.0720691496
68,5030,KIRBY,Kirby,5,64068486.5993892,35996.914972709
69,15040,STOWE,Stowe,15,188090867.63735,62697.953971217
70,15020,ELMORE,Elmore,15,102301502.775634,40653.7544435363
71,5035,LYNDON,Lyndon,5,102812108.194032,40506.0411328408
72,5075,WALDEN,Walden,5,101016951.951742,40181.8410450833
73,9070,LUNENBURG,Lunenburg,9,117730307.315143,50989.808016571
74,7045,JERICHO,Jericho,7,91967430.721675,40934.6931582682
75,5055,ST. JOHNSBURY,St. Johnsbury,5,95443873.8606023,40328.3311956337
76,9035,CONCORD,Concord,9,138369930.638863,53349.911227658
77,23095,WOODBURY,Woodbury,23,101733756.574533,40229.8666089725
78,23100,WORCESTER,Worcester,23,100298214.989476,40374.8432839308
79,7005,BOLTON,Bolton,7,109193887.539877,48743.7680355705
80,5080,WATERFORD,Waterford,5,102980376.575407,43039.0434381892
81,23025,CALAIS,Calais,23,99841774.5795711,40239.3348168974
82,7060,ST. GEORGE,St. George,7,9519772.05640799,13461.5059462285
83,5005,BARNET,Barnet,5,112515349.985777,51720.8589616284
84,23050,MIDDLESEX,Middlesex,23,103054812.295404,46704.8202674804
85,5045,PEACHAM,Peacham,5,123586187.139292,48117.9558010784
86,23030,DUXBURY,Duxbury,23,111413423.47749,43527.7386257554
87,7020,CHARLOTTE,Charlotte,7,130472780.37278,45660.6205445393
88,7040,HUNTINGTON,Huntington,7,99255523.8506605,46947.9960419416
89,23090,WATERBURY,Waterbury,23,128420960.664968,52612.9851838532
90,23045,MARSHFIELD,Marshfield,23,113239389.319549,44445.5993307833
91,23035,EAST MONTPELIER,East Montpelier,23,82888348.5944741,40210.7777098308
92,23060,MORETOWN,Moretown,23,104170757.3419,43631.7199368853
93,23055,MONTPELIER,Montpelier,23,26554069.8650169,27780.0068341212
94,1095,STARKSBORO,Starksboro,1,117985555.431909,51495.4924906227
95,5020,GROTON,Groton,5,142560238.31284,48741.074369345
96,23070,PLAINFIELD,Plainfield,23,54611423.1581075,30915.1142807747
97,1060,MONKTON,Monkton,1,93934901.8540296,40092.5549424928
98,23040,FAYSTON,Fayston,23,94571698.2166567,41780.6544008539
99,23015,BERLIN,Berlin,23,95074217.7267869,43128.2147266678
100,1025,FERRISBURGH,Ferrisburgh,1,158603751.932157,59759.2896768457
101,23010,BARRE TOWN,Barre Town,23,79590215.7817197,52735.1972482964
102,7010,BUELS GORE,Buels Gore,7,12956149.1747553,18648.5418423423
103,17040,ORANGE,Orange,17,100903458.048759,40571.6688448167
104,23005,BARRE CITY,Barre City,23,10430110.2494942,17298.4771614319
105,1015,BRISTOL,Bristol,1,106722087.912258,51862.8775684778
106,17060,TOPSHAM,Topsham,17,126946315.697968,45763.9496365041
107,1100,VERGENNES,Vergennes,1,6560941.48720637,10203.9628535239
108,1065,NEW HAVEN,New Haven,1,107484465.863706,52068.2035133541
109,1075,PANTON,Panton,1,57071356.7336299,35471.7795493426
110,1105,WALTHAM,Waltham,1,23917472.6747455,25500.3156526751
111,1050,LINCOLN,Lincoln,1,118620948.504187,47935.5114153004
112,17075,WASHINGTON,Washington,17,101091529.289912,40334.1257818917
113,1005,ADDISON,Addison,1,126776511.964409,48458.6098839907
114,17025,CORINTH,Corinth,17,125220680.263373,45062.7360456954
115,1110,WEYBRIDGE,Weybridge,1,45500501.381063,30602.2230315906
116,17020,CHELSEA,Chelsea,17,103821733.115553,43889.9783909026
117,1055,MIDDLEBURY,Middlebury,1,102803224.470809,41226.3251003964
118,1080,RIPTON,Ripton,1,127878469.725665,51332.6649184559
119,1010,BRIDPORT,Bridport,1,119957420.309606,44416.9383272885
120,1020,CORNWALL,Cornwall,1,74424823.9139672,36536.6589430596
121,17070,VERSHIRE,Vershire,17,93626405.4204853,38990.3243101837
122,17080,WEST FAIRLEE,West Fairlee,17,59149461.0650138,32673.4794625037
123,17030,FAIRLEE,Fairlee,17,54435809.1283295,34170.5366121152
124,1040,HANCOCK,Hancock,1,99942614.9971842,47182.6346476981
125,17065,TUNBRIDGE,Tunbridge,17,116004827.468659,43070.7750864203
126,1085,SALISBURY,Salisbury,1,77952186.1461879,38473.9845676469
127,27075,ROCHESTER,Rochester,27,148013539.8058,81013.3363877854
128,1090,SHOREHAM,Shoreham,1,119466396.219277,45534.1732341744
129,17050,STRAFFORD,Strafford,17,114637747.221047,43607.8194366539
130,27020,BETHEL,Bethel,27,118502491.318076,43779.9008005241
131,17055,THETFORD,Thetford,17,114782524.309196,44976.9497934422
132,27080,ROYALTON,Royalton,27,106046338.002484,41544.5457348412
133,1070,ORWELL,Orwell,1,128785301.843236,47182.9344704306
134,21075,PITTSFIELD,Pittsfield,21,53205993.0030448,38572.1171752194
135,27085,SHARON,Sharon,27,104395322.743727,41995.7753558315
136,27095,STOCKBRIDGE,Stockbridge,27,119263836.725358,48331.6175167214
137,27055,NORWICH,Norwich,27,115819851.210399,46106.0805399852
138,27015,BARNARD,Barnard,27,125012344.224547,44904.8939129783
139,21005,BENSON,Benson,21,117483496.552749,45082.105656727
140,27040,HARTFORD,Hartford,27,119086944.365757,45372.1502997514
141,21047,KILLINGTON,Killington,21,123274392.824274,50594.6580414646
142,27025,BRIDGEWATER,Bridgewater,27,128500178.078497,45900.3664759929
143,21135,WEST HAVEN,West Haven,21,74478281.5118,46397.8652726349
144,21035,FAIR HAVEN,Fair Haven,21,47183546.7548567,37027.8060532993
145,27045,HARTLAND,Hartland,27,117558689.779241,47156.4002424373
146,27060,PLYMOUTH,Plymouth,27,127397225.277575,46157.5809029419
147,21110,SHREWSBURY,Shrewsbury,21,129086796.974322,48461.8272294041
148,27070,READING,Reading,27,106909972.536603,41679.7405145333
149,27115,WINDSOR,Windsor,27,50942846.3063114,30439.2470959706
150,21125,WALLINGFORD,Wallingford,21,111503267.291113,45313.2392513534
151,21060,MOUNT HOLLY,Mount Holly,21,128110968.912986,48011.9930591361
152,21070,PAWLET,Pawlet,21,111447198.17488,42319.846076733
154,21030,DANBY,Danby,21,107936081.523631,41329.5386410386
155,21065,MOUNT TABOR,Mount Tabor,21,114599431.471085,46642.4154646388
156,27105,WESTON,Weston,27,92106738.5398581,45573.0198397179
157,27005,ANDOVER,Andover,27,74881956.5100075,37746.6367084291
158,27090,SPRINGFIELD,Springfield,27,128424294.715972,46310.5959714305
159,3045,RUPERT,Rupert,3,115977183.494133,42831.1774390744
160,3015,DORSET,Dorset,3,123025407.265233,45443.7228456909
161,3030,PERU,Peru,3,97088204.5967943,39582.5210457291
162,3020,LANDGROVE,Landgrove,3,23036307.780421,28795.9017203891
163,25050,LONDONDERRY,Londonderry,25,93149632.7555564,41975.7794991066
164,25030,GRAFTON,Grafton,25,98970257.9230874,42734.7750775788
165,25110,WINDHAM,Windham,25,67788208.4400687,35392.7577244963
166,3050,SANDGATE,Sandgate,3,109610493.681276,41870.1054814225
167,3075,WINHALL,Winhall,3,115314815.819041,43660.1661393592
168,3025,MANCHESTER,Manchester,3,108980205.495378,41786.6726566654
169,25045,JAMAICA,Jamaica,25,128162202.088717,45903.5575839573
170,25080,TOWNSHEND,Townshend,25,110672389.016576,45695.665899488
171,25095,WESTMINSTER,Westminster,25,117079655.058884,45854.2352113827
172,3005,ARLINGTON,Arlington,3,109369692.306633,41889.1599928863
173,3070,SUNDERLAND,Sunderland,3,117975390.095165,43674.6981043977
174,25075,STRATTON,Stratton,25,121099401.625229,48119.8047296023
175,25015,BROOKLINE,Brookline,25,33566339.3275609,34118.8275888638
176,25090,WARDSBORO,Wardsboro,25,75787730.1460672,35961.9725159818
177,3060,SHAFTSBURY,Shaftsbury,3,111541318.003316,42249.2060326641
178,3018,GLASTENBURY,Glastenbury,3,115029772.455272,43129.6140838026
179,25073,SOMERSET,Somerset,25,71499466.8065774,34584.2462316823
180,25065,PUTNEY,Putney,25,69142192.7614942,36879.3593562977
181,25060,NEWFANE,Newfane,25,103661068.508961,43004.5544413005
182,25020,DOVER,Dover,25,92863620.8751733,40205.8135081782
183,25025,DUMMERSTON,Dummerston,25,80110182.0741569,40034.3257357349
184,3010,BENNINGTON,Bennington,3,109467844.901794,42283.6005275102
185,3080,WOODFORD,Woodford,3,123074057.504384,44231.2229835678
186,3055,SEARSBURG,Searsburg,3,55450992.6226465,29679.7683143048
187,25105,WILMINGTON,Wilmington,25,109968937.696181,41967.2472565793
188,25055,MARLBORO,Marlboro,25,105473646.706612,41070.4692370824
189,25010,BRATTLEBORO,Brattleboro,25,84569333.8385217,40217.2715452297
190,3040,READSBORO,Readsboro,3,93968850.4875602,40554.8021707193
191,3035,POWNAL,Pownal,3,121803047.675721,44102.2849511115
192,3065,STAMFORD,Stamford,3,102573585.543818,40489.2821328718
193,25100,WHITINGHAM,Whitingham,25,101357535.477492,40364.4743653388
194,25040,HALIFAX,Halifax,25,103066246.159416,40700.0545346855
195,25035,GUILFORD,Guilford,25,103084131.719278,40551.5582143693
196,25085,VERNON,Vernon,25,51370757.0949064,37133.809495008
197,11055,MONTGOMERY,Montgomery,11,146119826.909242,51578.4562569835
198,15015,EDEN,Eden,15,165499435.959501,53912.6907536475
199,9075,MAIDSTONE,Maidstone,9,83104447.0001926,58441.6816978875
200,7025,COLCHESTER,Colchester,7,156466203.58122,68239.7812025459
201,5015,DANVILLE,Danville,5,158031897.495022,55724.5307691508
202,7090,WINOOSKI,Winooski,7,3811960.4239694,9386.92088971723
203,23020,CABOT,Cabot,23,99482369.8566159,41985.8830815079
204,7065,SHELBURNE,Shelburne,7,113382459.943537,45753.9855840095
205,7055,RICHMOND,Richmond,7,85239010.1931175,39362.2594482961
206,7035,HINESBURG,Hinesburg,7,102784373.106739,41481.0571503043
207,27065,POMFRET,Pomfret,27,102443452.127801,41299.9231305764
208,27120,WOODSTOCK,Woodstock,27,114829572.975157,43860.1404909115
209,21095,RUTLAND CITY,Rutland City,21,19863924.4800064,21544.4260484975
210,7015,BURLINGTON,Burlington,7,39752390.1175379,37828.0749183247
211,17010,BRAINTREE,Braintree,17,99837216.7339269,41523.1007686
212,17045,RANDOLPH,Randolph,17,124627916.479279,44983.146023491
213,7030,ESSEX,Essex,7,102100944.604167,49310.0535958382
214,5050,RYEGATE,Ryegate,5,95378616.3100638,44488.6453235899
215,17035,NEWBURY,Newbury,17,166981837.588803,60659.3723212925
216,7070,SOUTH BURLINGTON,South Burlington,7,79736942.2962092,68384.5439851595
217,7085,WILLISTON,Williston,7,80514066.8488515,47599.9806472741
218,17085,WILLIAMSTOWN,Williamstown,17,104530694.872783,41500.7968259785
219,17015,BROOKFIELD,Brookfield,17,106819873.663439,43324.4824253053
220,17005,BRADFORD,Bradford,17,77299603.8486945,44573.6187412786
221,21085,POULTNEY,Poultney,21,112963230.796278,46883.6397488279
222,21120,TINMOUTH,Tinmouth,21,74478881.8194966,37117.6991939307
223,21130,WELLS,Wells,21,60104285.9799778,31559.9338352728
224,21055,MIDDLETOWN SPRINGS,Middletown Springs,21,58813219.612175,31619.7476195097
225,27110,WEST WINDSOR,West Windsor,27,64375001.1560684,33008.2261346072
226,27035,CHESTER,Chester,27,144952850.761399,48723.1535959133
227,27030,CAVENDISH,Cavendish,27,102614147.655493,40664.4218744437
228,27011,BALTIMORE,Baltimore,27,12336838.4255252,15861.0995781159
229,27100,WEATHERSFIELD,Weathersfield,27,114037542.986407,45728.5413151384
230,19080,NEWPORT TOWN,Newport Town,19,112732369.765017,52789.324640041
231,19035,DERBY,Derby,19,148529803.048732,64555.162161482
232,19025,COVENTRY,Coventry,19,72029982.5722607,34357.9442077851
233,19075,NEWPORT CITY,Newport City,19,19742345.6923211,25838.7586728833
234,23065,NORTHFIELD,Northfield,23,115909985.783237,47045.4942193625
235,23080,WAITSFIELD,Waitsfield,23,67142072.5911748,35347.7523588854
236,25070,ROCKINGHAM,Rockingham,25,109214261.018909,46272.6887507477
237,25005,ATHENS,Athens,25,36386666.0380316,29260.0802852635
238,1035,GRANVILLE,Granville,1,132031155.358885,46977.6502621286
239,23075,ROXBURY,Roxbury,23,108124978.216448,41910.2249358494
240,23085,WARREN,Warren,23,103944760.370108,41859.9519355987
241,1030,GOSHEN,Goshen,1,53723179.0144872,37046.9537198029
242,1115,WHITING,Whiting,1,35491951.8060616,27680.5542122356
243,1045,LEICESTER,Leicester,1,56177055.0871895,32666.7155900658
244,21020,CHITTENDEN,Chittenden,21,191543033.402284,57806.3068523234
245,21115,SUDBURY,Sudbury,21,57344315.5379095,34731.1275513941
246,21040,HUBBARDTON,Hubbardton,21,74037625.3158918,34836.6618667495
247,21015,CASTLETON,Castleton,21,109780844.004873,42287.4543376625
248,21045,IRA,Ira,21,57676859.3888409,39941.2886186207
249,21010,BRANDON,Brandon,21,103714543.652735,42913.0502165642
250,21080,PITTSFORD,Pittsford,21,112789581.267559,53488.4138148685
251,21140,WEST RUTLAND,West Rutland,21,46826497.7604,34698.7234863098
252,21090,PROCTOR,Proctor,21,19627122.5546041,32988.0863425091
253,21100,RUTLAND,Rutland,21,49788312.7540476,62894.8113299164
254,21050,MENDON,Mendon,21,98267210.5454196,53373.3943817118
255,21025,CLARENDON,Clarendon,21,81639420.0781967,38371.9419195145
257,27050,LUDLOW,Ludlow,27,91365985.9303814,42206.4291298735
